Año,Total,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
1980,"5,758,330","55,038","347,138","42,227","21,766","149,242","49,073","55,401","272,399","1,869,808","75,859","155,239","59,199","70,592","347,483","317,938","131,511","106,712","34,249","264,368","68,997","196,445","42,255","16,640","80,309","110,677","176,518","34,762","245,916","23,218","227,171","76,404","33,776"
1981,"6,339,836","56,049","391,422","44,460","26,299","171,897","60,262","60,997","307,456","1,996,743","85,331","166,660","67,217","75,007","386,231","357,998","156,554","115,884","35,158","307,312","81,560","228,030","46,300","21,714","89,974","120,393","182,208","44,755","266,205","25,982","248,547","79,229","36,002"
1982,"6,695,164","59,640","430,583","53,984","35,866","202,036","90,599","64,014","347,613","1,965,771","94,013","180,181","75,698","78,771","404,645","400,980","167,425","132,284","40,993","299,466","85,794","239,249","49,473","22,362","96,846","122,477","190,093","47,689","288,940","29,911","271,323","81,378","45,067"
1983,"6,941,252","59,181","479,624","56,620","39,342","225,615","93,368","73,248","404,470","1,773,140","108,873","192,857","81,153","82,316","438,343","443,777","190,393","137,356","42,059","306,338","93,108","275,423","52,643","24,662","101,749","130,907","198,548","54,886","307,698","34,032","304,836","83,293","51,394"
1984,"7,305,066","60,559","494,007","57,892","44,359","237,710","100,961","71,224","438,638","1,795,279","110,658","208,212","85,913","84,555","487,847","489,786","200,475","148,388","53,265","347,032","80,897","284,043","54,435","25,345","106,849","139,617","202,976","60,957","327,021","39,272","322,101","86,616","58,177"
1985,"7,725,623","63,226","507,540","58,711","46,907","248,788","104,826","81,441","462,776","1,833,239","113,623","219,866","89,914","87,726","508,494","633,362","211,365","156,316","54,431","366,631","75,575","295,252","57,711","27,281","112,754","148,198","221,454","66,436","342,672","40,920","336,378","91,475","60,335"
1986,"7,732,012","70,003","502,496","60,395","48,001","255,874","109,314","89,032","470,753","1,519,411","115,853","223,064","93,582","90,252","530,801","704,819","218,433","183,976","55,001","382,050","78,742","303,042","59,791","28,516","115,070","217,768","228,846","69,275","357,557","42,307","345,924","100,529","61,535"
1987,"7,933,729","74,538","489,187","61,054","51,866","262,333","109,982","92,965","475,220","1,549,203","117,552","234,142","96,329","97,770","555,905","717,189","225,856","195,386","58,488","397,753","84,216","294,383","61,709","29,738","117,156","224,120","238,641","76,888","367,961","46,273","354,400","106,076","69,450"
1988,"8,324,887","76,365","491,855","61,835","52,951","271,593","111,635","98,337","484,304","1,677,570","119,824","246,007","101,954","101,330","586,990","753,486","236,294","192,981","60,695","414,999","91,502","306,984","64,648","32,800","120,782","230,556","250,631","85,928","380,996","47,655","370,631","118,454","82,315"
1989,"9,009,048","80,180","531,869","65,701","61,715","335,354","111,577","116,786","502,170","1,711,583","124,553","264,577","109,918","131,431","627,739","858,069","253,460","200,503","63,145","443,406","100,119","332,950","80,064","40,501","134,228","240,998","271,892","96,322","409,005","62,741","397,158","127,849","121,485"
1990,"9,862,108","105,893","542,800","72,495","66,288","352,475","108,115","135,163","555,273","1,977,554","131,748","288,265","119,520","140,774","674,854","928,820","278,640","209,458","64,476","473,704","111,583","355,022","91,631","50,418","147,543","251,592","299,392","101,991","440,954","64,688","431,008","147,301","142,670"
1991,"10,602,143","116,322","596,778","79,691","72,562","387,261","118,448","148,510","641,354","1,919,557","144,762","316,707","131,306","154,692","741,520","1,011,089","306,031","229,970","70,749","520,493","122,476","389,966","100,688","55,254","161,879","276,295","328,918","111,996","484,507","71,020","473,503","161,057","156,782"
